rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/loss,train/learning_rate
0.39,398,0.9597533333333332,75,22500,1.31,30185,,,
0.55,400,0.9595693333333333,75,22600,1.38,30323,,,
0.41,402,0.9593893333333334,75,22700,1.35,30458,,,
0.4,404,0.959212,75,22800,1.33,30591,,,
0.4,405,0.9590426666666667,75,22900,1.27,30718,,,
0.42,407,0.958868,75,23000,1.31,30849,,,
0.48,409,0.9586840000000001,75,23100,1.38,30987,,,
0.43,411,0.9585026666666667,75,23200,1.36,31123,,,
0.39,413,0.9583253333333333,75,23300,1.33,31256,,,
0.35,415,0.9581533333333334,75,23400,1.29,31385,,,
0.5,416,0.9579693333333332,75,23500,1.38,31523,,,
0.64,418,0.957784,75,23600,1.39,31662,,,
0.53,420,0.9576,75,23700,1.38,31800,,,
0.47,422,0.9574199999999999,75,23800,1.35,31935,,,
0.44,424,0.9572400000000001,75,23900,1.35,32070,,,
0.52,426,0.9570639999999999,75,24000,1.32,32202,,,
0.39,428,0.9569000000000001,75,24100,1.23,32325,,,
0.58,430,0.9567159999999999,75,24200,1.38,32463,,,
0.51,432,0.9565306666666666,75,24300,1.39,32602,,,
0.61,433,0.9563413333333333,75,24400,1.42,32744,,,
0.34,435,0.9561693333333334,75,24500,1.29,32873,,,
0.46,437,0.9559893333333334,75,24600,1.35,33008,,,
0.26,439,0.9558253333333333,75,24700,1.23,33131,,,
0.45,440,0.9556466666666668,75,24800,1.34,33265,,,
0.49,442,0.955468,75,24900,1.34,33399,,,
0.49,444,0.955284,75,25000,1.38,33537,,,
0.46,446,0.9551080000000001,75,25100,1.32,33669,,,
0.4,448,0.9549333333333334,75,25200,1.31,33800,,,
0.44,450,0.954752,75,25300,1.36,33936,,,
0.26,452,0.9545866666666667,75,25400,1.24,34060,,,
0.52,454,0.9544079999999999,75,25500,1.34,34194,,,
0.3,456,0.9542426666666666,75,25600,1.24,34318,,,
0.34,458,0.9540786666666667,75,25700,1.23,34441,,,
0.56,460,0.953892,75,25800,1.4,34581,,,
0.42,462,0.953716,75,25900,1.32,34713,,,
0.44,464,0.95354,75,26000,1.32,34845,,,
0.44,466,0.95336,75,26100,1.35,34980,,,
0.3,467,0.953192,75,26200,1.26,35106,,,
0.44,469,0.953012,75,26300,1.35,35241,,,
0.35,470,0.9528386666666666,75,26400,1.3,35371,,,
0.27,472,0.9526733333333333,75,26500,1.24,35495,,,
0.61,474,0.9524773333333334,75,26600,1.47,35642,,,
0.37,476,0.9523026666666667,75,26700,1.31,35773,,,
0.49,478,0.9521173333333333,75,26800,1.39,35912,,,
0.24,479,0.9519546666666667,75,26900,1.22,36034,,,
0.45,481,0.9517826666666667,75,27000,1.29,36163,,,
0.32,483,0.951616,75,27100,1.25,36288,,,
0.46,485,0.9514346666666667,75,27200,1.36,36424,,,
0.33,486,0.9512626666666666,75,27300,1.29,36553,,,
0.45,488,0.951084,75,27400,1.34,36687,,,
0.55,490,0.9508986666666668,75,27500,1.39,36826,,,
0.35,492,0.9507266666666667,75,27600,1.29,36955,,,
0.43,493,0.9505506666666668,75,27700,1.32,37087,,,
0.45,495,0.9503746666666666,75,27800,1.32,37219,,,
0.28,497,0.9502066666666666,75,27900,1.26,37345,,,
0.37,499,0.9500360000000001,75,28000,1.28,37473,,,
0.31,500,0.9498693333333332,75,28100,1.25,37598,,,
0.58,502,0.9496733333333334,75,28200,1.47,37745,,,
0.47,504,0.9494959999999999,75,28300,1.33,37878,,,
0.35,506,0.9493226666666668,75,28400,1.3,38008,,,
0.56,508,0.949136,75,28500,1.4,38148,,,
0.51,509,0.9489533333333333,75,28600,1.37,38285,,,
0.49,511,0.9487680000000001,75,28700,1.39,38424,,,
0.41,513,0.9485906666666666,75,28800,1.33,38557,,,
0.49,515,0.948404,75,28900,1.4,38697,,,
0.42,517,0.948232,75,29000,1.29,38826,,,
0.28,519,0.9480653333333333,75,29100,1.25,38951,,,
0.81,521,0.9478653333333333,75,29200,1.5,39101,,,
0.47,523,0.9476773333333333,75,29300,1.41,39242,,,
0.41,525,0.947508,74,29400,1.27,39369,,,
0.43,526,0.9473293333333332,74,29500,1.34,39503,,,
0.34,528,0.9471573333333334,74,29600,1.29,39632,,,
0.27,531,0.9469933333333334,74,29700,1.23,39755,,,
0.38,532,0.94682,74,29800,1.3,39885,,,
0.38,534,0.9466479999999999,74,29900,1.29,40014,,,
0.53,536,0.9464680000000001,74,30000,1.35,40149,,,
0.72,538,0.9462773333333334,74,30100,1.43,40292,,,
0.27,540,0.9461133333333334,74,30200,1.23,40415,,,
0.33,542,0.94594,74,30300,1.3,40545,,,
0.59,544,0.945748,74,30400,1.44,40689,,,
0.36,545,0.9455786666666666,74,30500,1.27,40816,,,
0.45,547,0.9453986666666667,74,30600,1.35,40951,,,
0.43,549,0.945228,74,30700,1.28,41079,,,
0.82,551,0.9450266666666667,74,30800,1.51,41230,,,
