time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/n_updates
308000,5.06,580641,17.0,0.2258119999999999,50931,11,12.474637031555176,0.001,82660
309000,5.19,585495,16.18,0.21933999999999987,50998,11,10.64281177520752,0.001,83873
310000,5.14,590446,15.54,0.21273866666666663,51066,11,3.4524927139282227,0.001,85111
311000,7.5,596475,37.73,0.20469999999999988,51145,11,17.038602828979492,0.001,86618
312000,6.08,602406,25.3,0.19679199999999986,51222,11,5.194849491119385,0.001,88101
313000,6.59,608630,29.65,0.18849333333333318,51302,11,15.390226364135742,0.001,89657
314000,7.25,615194,37.49,0.1797413333333333,51388,11,12.384428024291992,0.001,91298
315000,7.16,621837,40.49,0.17088400000000004,51472,12,18.539424896240234,0.001,92959
316000,6.76,628653,30.2,0.16179600000000005,51560,12,25.514142990112305,0.001,94663
317000,6.59,635611,36.02,0.1525186666666667,51648,12,7.601749420166016,0.001,96402
318000,7.31,643136,39.43,0.14248533333333335,51742,12,4.86657190322876,0.001,98283
319000,8.13,651153,45.01,0.13179600000000002,51843,12,8.50285530090332,0.001,100288
320000,9.02,659673,54.35,0.12043599999999999,51947,12,27.605180740356445,0.001,102418
321000,9.37,668805,58.45,0.10826000000000002,52058,12,28.76523208618164,0.001,104701
322000,14.95,681827,190.35,0.09089733333333339,52208,13,24.3418025970459,0.001,107956
323000,20.26,699538,360.04,0.06728266666666682,52405,13,13.13990306854248,0.001,112384
324000,37.74,725832,1118.02,0.03222400000000003,52690,13,23.606666564941406,0.001,118957
325000,63.44,796613,3120.04,0,85456,9,71.68077850341797,0.001,136653
326000,42.99,822918,2064.15,0,85767,9,81.48399353027344,0.001,143229
327000,4.4,834441,102.23,0,85910,9,134.55706787109375,0.001,146110
328000,16.01,858467,629.98,0,86186,9,130.50299072265625,0.001,152116
329000,4.9,862827,124.91,0,86251,10,167.65606689453125,0.001,153206
330000,1.45,866378,0.62,0,86307,10,184.4911346435547,0.001,154094
331000,4.9,870273,130.43,0,86367,10,278.57757568359375,0.001,155068
332000,12.29,884368,425.19,0,86536,10,193.08460998535156,0.001,158591
333000,99.0,947658,4950.0,0,87238,10,163.9850616455078,0.001,174414
334000,5.28,967664,151.68,0,87472,11,302.03973388671875,0.001,179415
335000,5.2,972211,151.25,0,87540,11,219.2124481201172,0.001,180552
336000,99.0,1018164,4950.0,0,88052,11,205.94482421875,0.001,192040
337000,4.42,1084551,102.8,0,88787,12,137.46429443359375,0.001,208637
338000,7.47,1088406,251.12,0,88847,12,104.56126403808594,0.001,209601
339000,50.74,1112007,2464.91,0,89119,12,121.01278686523438,0.001,215501
340000,59.37,1205077,2899.86,0,90142,13,62.84333801269531,0.001,238769
341000,46.43,1260757,2218.65,0,90772,13,26.82464599609375,0.001,252689
342000,99.0,1345097,4950.0,0,91697,14,30.338687896728516,0.001,273774
343000,99.0,1444097,4950.0,0,92775,15,67.23580932617188,0.001,298524
